ID,NOME,WHATSAPP,NICHO,CATEGORIA,CIDADE,PAIS,NOTA,AVALIACOES,STATUS,DATA_ENVIO,NUMERO_USADO,MENSAGEM_ENVIADA
1,Widmen,552124610300,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.9,8113,Pendente,,,
2,OdontoCompany Bonsucesso RJ,5521970359288,Sites desatualizados,Dentista,Rio de Janeiro,BR,4.8,2354,Pendente,,,
3,Pró Estética Vila Mariana,5511933697973,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.8,1881,Pendente,,,
4,Sorridents Clínicas Odontológicas Tatuapé,551122273700,Sites desatualizados,Dentista,São Paulo,BR,4.9,1814,Pendente,,,
5,BM Centro Odontológico LTDA,5521996915755,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.7,1621,Pendente,,,
6,Clínica Odontológica Oral 360 Tijuca,5521998133001,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.8,1517,Pendente,,,
7,Videira e Palhano Advogados,5521988050646,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,5,1379,Pendente,,,
8,Clínica Pró Estética Vila Leopoldina,5511914327445,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.8,1368,Pendente,,,
9,Mais Barauto Autopeças,552124423123,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.8,1301,Pendente,,,
10,IRio Odontologia Barra da Tijuca,5521989003446,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,1175,Pendente,,,
11,Hokkaido Oficina Especializada Honda e Toyota,5521964384766,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,5,886,Pendente,,,
12,Mitras Estética,5511943617735,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.9,869,Pendente,,,
13,Robson Dantas Advocacia,5511932048678,Sites desatualizados,Advogado criminal,São Paulo,BR,4.9,837,Pendente,,,
14,Marcelle Rosa Advocacia - Direito Médico,5521971064121,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,5,767,Pendente,,,
15,Bradford Advogados,5521966832125,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,5,748,Pendente,,,
16,SempreSorrir Odontologia Vila Isabel,5521973164275,Sites desatualizados,Dentista,Rio de Janeiro,BR,4.9,621,Pendente,,,
17,Campos Advocacia Especializada,5511945914436,Sites desatualizados,Advogado trabalhista,São Paulo,BR,4.9,601,Pendente,,,
18,Edimar Ruiz Advogado Unidade Tatuapé,551121028889,Sites desatualizados,Serviços jurídicos,São Paulo,BR,4.9,584,Pendente,,,
19,Dentista Bonsucesso RJ 021 Dental,552122638960,Sites desatualizados,Dentista,Rio de Janeiro,BR,4.5,575,Pendente,,,
20,Iara Imobiliária Zona Leste,551126825391,Sites desatualizados,Imobiliária,São Paulo,BR,4.7,503,Pendente,,,
21,RE/MAX Guardião - Imobiliária em Bonsucesso,552135466652,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.9,460,Pendente,,,
22,Guenki by SOHO Unidade Saúde,551155958681,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.4,455,Pendente,,,
23,Invicta Imobiliária - Copacabana,552135634203,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.8,438,Pendente,,,
24,Lucrum Imobiliária,552125220090,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.7,433,Pendente,,,
25,Fino Capelli,5521970031920,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,4.9,416,Pendente,,,
26,Studio F Hair,551129583654,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.7,408,Pendente,,,
27,Clínica Jambo - Odontologia e Estética,5521998282729,Sites desatualizados,Dentista,Rio de Janeiro,BR,4.7,405,Pendente,,,
28,Estética UP,551150845198,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.9,377,Pendente,,,
29,GDS IMÓVEIS Parque São Domingos,5511991653010,Sites desatualizados,Imobiliária,São Paulo,BR,4.8,372,Pendente,,,
30,REMAX TERRA - Vila Leopoldina,551136419900,Sites desatualizados,Imobiliária,São Paulo,BR,4.7,367,Pendente,,,
31,Allegra Odontologia Tatuapé,5511961724207,Sites desatualizados,Dentista,São Paulo,BR,4.8,364,Pendente,,,
32,Lury Hair Studio Salão de Beleza,5511972727506,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.9,360,Pendente,,,
33,Aura Color Concept - Salão de Beleza,5521969900804,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,355,Pendente,,,
34,Novi Administradora,552132978686,Sites desatualizados,Imobiliária de aluguel de residências,Rio de Janeiro,BR,4.8,355,Pendente,,,
35,Odontomais - Fontális,5511943071267,Sites desatualizados,Dentista,São Paulo,BR,4.5,353,Pendente,,,
36,ACS Odontologia Dentista em Itaquera,551122055290,Sites desatualizados,Clínica odontológica,São Paulo,BR,4.9,347,Pendente,,,
37,Stella Maris Real Estate,5521991096997,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,327,Pendente,,,
38,Magalhães & Gomes Advs - advogado de família RJ,5521998702613,Sites desatualizados,Advogado,Rio de Janeiro,BR,4.9,317,Pendente,,,
39,Invicta Imobiliária - Arpoador,5521998177466,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,307,Pendente,,,
40,Eternità Clínica Odontológica,551120814489,Sites desatualizados,Dentista,São Paulo,BR,4.9,305,Pendente,,,
